ジャンル,投稿日時,星の数,見出し,レビュー全文
文学・評論,2016年4月26日,5,ブックカバーも!,すぐに届きましたし、美品でした。今まで何回か中古本を購入しましたが、ブックカバーまでつけて送られてきたのは初めてでした。ありがとうございました。
文学・評論,2017年10月1日,4,世の中みんなマスカレード・パーソン,本音丸出しで渡れるほど世間は甘くない。多かれ少なかれ人は仮面を被って舞踏会に参加している。500ページの前半3/5位までは仕事や職場に対するプロのホテルマンのプライドと自信を試すかのようにエピソードが続く。次から次へといわくありげな「客」いや「お客様」が訪れ、無理難題を吹きかける。メインテーマである連続殺人事件と何の関係もないエピソードをなぜこんなにも引っ張るのか？と首を傾げる。これが伏線となり後で重要な位置を占める。難解な言葉や言い回しがなく、また口語体を多用しているのでテンポよく読める。レベルも高いものが確保されており、安心して物語の中に没頭できる。
文学・評論,2011年11月9日,4,意外な展開とホテル専門用語の使い方,"外国映画のホテルでの、紳士・淑女のミステリー内容かなと思っておりましたが、一般のゲストと警察の
やり取りがあり、面白く読ましていただきました。私もホテルマンでしたが、多少専門用語が使用されて
おりましたので身近に感じられました。しかし、ホテルの内部の事を良く調べられております。感心しました。ありがとうございました。"
文学・評論,2011年9月17日,3,ニューヒーロー誕生に・・・,予約待ちでやっと届いた新刊書。前宣から楽しみにしていたニューヒーロー誕生、読んで行く内、あれぃ？こいつがニューヒーローなのか？！それともまさか？と、最後の最後まで自分的にはわからないまま読み終わってしまった。。。中に同封されていた集英社新刊案内チラシを読んでやっとそのニューヒーローが誰なのかを納得。ひょっとして、誰がニューヒーローなのかを悩ませるのが、東野センセの狙いなのか？！犯人像があまりにも幼稚な人物像でガッカリ。個人的には、もう1人の人がニューヒーローな方が、かつてない設定で楽しめたかも。。。
文学・評論,2012年8月23日,5,マスカレード・ホテル,"東野圭吾さんの作品は、変身、分身、最近のでプラチナレコードなど、医学的、科学的に、内容がなかなか難しいのが多いですが、この作品は、情景がよくわかりとても読みやすい本で、ついつい読みふけってしまいました。自分も、マスカレード・ホテルに宿泊してる気分になり、とても楽しい時間を過ごせた。
大好きになった作品の一つです。"
文学・評論,2014年9月8日,5,マスカレード・ホテルもマスカレード・イブ,一話一話短編に成っている所も、気を抜かずに読んでいった方が面白い。とても満足しました。
文学・評論,2018年10月22日,5,ドラマ化で６話ほど作れそう,と思っていたら映画化決定！１冊の小説の中に物語が幾重にもある。一つ一つを楽しんでいたら、実は伏線だった、なんてことがあるので気を抜かずに読んでください。って、当たり前の事かぁ。そして、だんだんページ数が少なくなって行くのが悲しい位、後半は怒涛の勢いで読み進めて行くことになるでしょう。でもマスカレードイブがあるからまだ大丈夫！なのか？
文学・評論,2014年2月24日,5,ホテルマンと刑事の人間の味方の違いや、,ホテルマンと刑事の人間の見方の違いや、ホテルでの表と裏の部分などがよく判りおもしろい。また、少しづつ見えてくる犯人像・・と最後のクライマックスと想定外の犯人・・大変　読みごたえありました。
文学・評論,2014年12月29日,5,おもしろい,ホテルで仕事をしていますが、著者のしっかりした取材で内容が細部にわたってリアリティがあります。面白かった。
文学・評論,2017年4月27日,4,雰囲気がとても良い,正直、推理小説として言えば☆2です。なぜ☆4かと言えば読むだけでこのホテルの姿がが、雰囲気が、情景として伝わってくるのです。自分がまるでこのホテルに居るような感覚を覚えます。凄いです。読んでみてください。この感覚がわかると思います。推理小説としては期待しないで下さい。
文学・評論,2011年10月2日,4,良い本です,新シリーズもまた、読み始めから終わりまで、起伏がありまったく飽きさせない一冊でした。満足です。
文学・評論,2017年11月18日,5,ホテル・コルテシアでの潜入捜査・・・,主人公は、2人。山岸尚美と新田浩介。山岸は、ホテル・コルテシアのフロントクローク。新田は、警視庁捜査一課所属の若きエリート刑事。都内で、連続殺人事件が起こる。容疑者同士に関係性はなく、犯人の目的は不明。ただ、現場に残された謎の数字から、同一犯による連続殺人事件と考えられる。次の現場と推定されるホテル・コルテシアで、新田達は潜入捜査を開始する。果たして、ホテル・コルテシアで事件は起こるのか・・。犯人の目的は・・。山岸と新田は、真相に辿り着けるのか・・。ホテルでの日常と潜入捜査を軸に、ホテルマンの気遣いと仕事への情熱を感じられた。山岸と新田が徐々に信頼し合い、交流を深めて行く過程も良かった。最後の30ページでの種明かしは、急転直下で予想外だった。ラストは、思わずニヤリとさせられた。
文学・評論,2015年3月31日,2,軽い,「軽いなー！！」と言う感じで読了。犯人も伏線らしき伏線もなく突然現れた上、犯行動機は人情刑事のドラマで放送している様なお粗末さの上に昭和のドラマの様な古臭さの終わり方笑昨今の作品は、ドラマ・映画化前提で書いてるんじゃないと思う様な話ばかりで新作で買うのを躊躇うレベルになってるのが残念だが、毒笑小説の様なジワジワと来る東野作品は、もう期待出来ないのかと思うと更に残念だ
文学・評論,2018年5月13日,4,魅力的な二人です。,何と言っても、山岸さん／新田さんの二人が徐々に認め合って協力し合っていくのが良かったです。ベタな構成かもしれませんが、二人の仕事に対する思いを丁寧に描かれているので引き込まれてしまいます。ただ、よくわからなかったのは、事件の構造を知るとホテル側の行動が変わる と考えた点です。どうも納得いきませんでした。そこは知ろうが知るまいが同じと私は考えたのですが、、、そこだけ少し読み進めるのを止めて、考え込んでしまいました。しかし、全体通して非常に楽しく読むことができました。著者の本は「夢幻花」を久しぶりに読んで面白かったので本書も手にしましたが正解でした。また他の作品を楽しんでみようと思います。
文学・評論,2011年9月11日,3,２時間ドラマの原作?,殺人が起こる日付と場所（ホテル）がわかっているが、犯人も被害者もわからないという状況からスタート。この設定は興味を引く。しかし、必然的に捜査は事件が起きる日までなかなか進展しないわけで、その間は高級シティホテルの舞台裏を描く方に力が入ってしまう。読みながら、石ノ森章太郎の『ホテル』を思い出した。それでも、すこしずつ事件の真相に近づいていくんだけれど、新田刑事が優秀すぎる（最近の加賀刑事みたいだ）。そして、新田刑事のおかげで事件は急転直下解決するんだけど、「あっそう」っていう感じでカタルシスはない。文章がうまいんで一気に読みはしたけど、ストーリーも事件の全体像も、新鮮みがなく、物足りない。２時間ドラマの原作としてならちょうどいいかなって感じ。はじめて東野圭吾を読む人はほかの本にした方がいいです。
文学・評論,2017年11月15日,4,映画化決定とはなったが,「お客様は神様ばかりではありません。悪魔も混じっています。それを見極めるのも、私たちの仕事なんです」そう言って、彼女は口元を緩めた。（51p）こういう視点が、このシリーズの全てなのかもしれない。私も、まさかスキッパー（無銭宿泊者）を、ホテル跨いでブラックリスト化しているとは知らなかった。もちろん、名前は次々と変えて行くだろうが、それでもキチンと目を付けることの出来る推理力が必要なのである。もちろん、ホテル特有のサービスは落とさずに、である。帯には「映画化決定」とある。山岸尚美役に長澤まさみは、アラサー女優の代表格だからうなづけるとしても、刑事の新田に棒読み男優を持ってくるのは、勘弁して欲しい。ま、決定したことだから今更言っても仕方ないのではあるが。映画化に当たっては、犯人云々よりも、ホテルの知られざる「裏側」という処に、焦点が行くのだろうな。あまりにもスラスラ読めるので、シリーズ化されるとついつい読んでしまいそうになるけど、例えば「偽名を使うこと自体は罪とは言えないからな」（154p）と、現職刑事が言うのはどうかと思う。あれって、軽犯罪法違反だったのではないかしら。その他いろいろ設定が甘いじゃないかと云うのもあって、時間潰し用の候補作にあげて置く。2017年11月読了
文学・評論,2012年10月20日,5,胸騒ぎを覚えながら424ページを読んだときの鳥肌。,"連続殺人を防ぐためにホテルマンになりきる捜査一課の新田。一流ホテルのやり手フロントウーマン、山岸。二人は自身のプロ意識から衝突を繰り返します。犯行を未然に防ぐため、ホテルに泊まるお客様を守るため。しかし、互いに相手の考え方や仕事への姿勢を知るたびに、距離が縮まっていきます。その人間模様がとても丁寧に描かれていて、さずがだなーと思いました。また、新田とコンビを組む品川警察署の愚鈍そうなおっさん刑事で、能勢という人物が出てきます。年下の上司である捜査一課の新田を気遣う能勢。そんな冴えない所轄の刑事である彼を、ホテルスタッフ山岸は『いい人ですね』と褒める場面があります。『根本的にお節介なんでしょうなあ。伸びるべき人間がつまらないことで行き詰っているのを見ると放っておけない性格なんです』能勢のこの返し、グッときました笑。彼のキャラクターは物語りの良いアクセントになっていて、ワインのトリックを指摘する場面や、期待通りの気遣いを見せるラスト等、
本作の登場人物全員からMVPを選ぶなら間違いなく彼でしょう。個人的には平泉成さんなんかすごく適役のように思えます。伏線の利いた展開や軽快なテンポからも、映像化の期待がもてる作品でもあります。
ミステリーの部分については、お見事の一言。これは是非先入観なしに読み進めていただきたい。本当によくできている、さすが東野さんと感じる読後です。「今後同じことをやろうとしても、これ以上にうまくやれる自信はありません」とは著者の言葉ですが、物語の終盤は、どうなるんだろう♪という、ドキドキする気持ちが止まらなかった。ミステリーとして大変に緻密で過不足が一切なく、大変楽しめました。個人的には満足の★５つ。文庫化を待たず、万人にオススメしたいです。"
文学・評論,2013年7月26日,3,それほどでも,全体を通して作品のレベルが低いと思います。東野圭吾作品としては、期待はずれでした。
文学・評論,2015年1月28日,5,本当に・・・,面白かったです。スリル満点の本で、同作者作品を読むきっかけとなりました。
文学・評論,2015年1月12日,3,感想,少し傷がありましたが、ほとんど気にならずに、一気に完読出来ました。
文学・評論,2017年10月1日,4,一流ホテルが「〇〇様でございますか」,敬語というのはローカルルールありありの世界で、正解なんかどこにも存在しないのかも知れないが、「間違い敬語サンプル集」の1ページ目に出てくるような例が飛び出したのが、ちょうど話が中だるみしたころだったので、逆に肩の力が抜けてその後を気楽に楽しむことができた。大出版社といえども今はチェック能力ガタガタなんだなとは思ったけども。特に後半が緩いし、甘い。出足の良さ、犯人像のユニークさからして、惜しいと思う気持ちもある。でも、世の中、何から何まで間然することのない上質作品ばかりでなくても良いのではないか。こういう少し大味でもボリュームたっぷりでそこそこ楽しめる大衆料理も日々の糧としては貴重ははず。
文学・評論,2014年11月29日,2,がっかり!,題名からホテル内部だけのスートーリーじゃないかと思っていたところ、そのとおりなんら発展しなく、面白みにかけるもの。
文学・評論,2011年10月8日,2,これはひどい,一流ホテル、正反対のプロ意識を持つ主人公とヒロイン、連続殺人など舞台設定は非常に興味をそそるものでしたが事件の顛末とその真相が非常に残念な出来。暗号や事件の伏線などはよく考えられていたと思うし、謎が次々と解き明かされていく様はまさにミステリの真骨頂で読んでいて痛快でした。が、最後の最後で判明した真犯人の動機と犯行計画が「普通そこまでやるか？」というくらい狂気じみていて思わず突っ込まずにはいられませんでした。「人の恨みはそれだけ怖い」ということにしても、このオチにはかなり引く。結局、良かった点といえば主人公のホテルマンとしての成長とヒロインとの信頼関係くらいでした。あとは明らかにドラマ化を視野に入れてるな、というのを感じましたね。
