ジャンル,投稿日時,星の数,見出し,レビュー全文
医学・薬学・看護学・歯科学,2016年8月15日,5,ユニマチュードに魅せられて,只今、勉強中！他の本も買いました最初に興味を持った時に読んで欲しいです
医学・薬学・看護学・歯科学,2015年6月19日,5,すぐ読めて、簡単にわかる。,これを読めばユマニチュードを実践できるというわけではありませんが、その概要は実によく理解できます。簡潔にまとめられており、目次を見るだけでもその全体像をつかむことができます。まさに入門のタイトルがぴったりの一冊です。
医学・薬学・看護学・歯科学,2018年6月25日,5,これこそ介護のある形!,すべての介護に携わる人たちへ、必ず読んでほしい本です。
医学・薬学・看護学・歯科学,2014年12月31日,4,既に読み終わりました・・・,アッという間に、読み終わりました。大変勉強になる内容でした。
医学・薬学・看護学・歯科学,2014年10月5日,5,イラストが多くてわかりやすい,期待通りの本でした。続編が出るならば家族など周りの方々の実践記録ももっと読みたいです。
医学・薬学・看護学・歯科学,2017年11月15日,5,良い本です。,分かりやすくすぐ実践できる内容でした．お勧めです．有難うございました．
医学・薬学・看護学・歯科学,2014年12月19日,5,介護現場の新人教育にも活用できる。,"とても当たり前で基本的な事ばかりですがそれだけに大切な内容が、分かりやすく解説されています。
ユマニチュードを実践する、しないに関わらず、対人援助の基本を学ぶには最適なテキストではないでしょうか。"
医学・薬学・看護学・歯科学,2014年8月20日,5,おすすめです。,ごく当たり前ながら、介護にあたるときにはつい、見落としてしまいがちなことが、とても平易に書かれています。認知症のご家族の介護にあたる方にも、プロとして介護にあたる方にもお勧めだと思います。
医学・薬学・看護学・歯科学,2017年3月16日,4,読みやすい文章で理解しやすかったです。,読みやすい文章で　理解しやすかったです。日々のケアの参考になりました。
医学・薬学・看護学・歯科学,2017年8月23日,3,入門書として,ユマニチュードの入門編としてよいのではないでしょうか？リハビリに携わる人には、是非見てほしいと感じました。
医学・薬学・看護学・歯科学,2016年1月18日,5,ユニマチュードとは,とても良い内容ですごく感動しました。仕事に疲れたときや、初心をつい忘れてしまったときに読みたい本です。
医学・薬学・看護学・歯科学,2014年11月13日,3,当たり前のことが大事,書かれていることは本当に当たり前の事。介護の教科書に、職場の先輩に言われいることばかりです。でも、当たり前のことを当たり前にするということが、とても難しいのです。私にとっては、自分の行動を省みる為に、必要な一冊です。
医学・薬学・看護学・歯科学,2017年5月28日,5,SORA,とても勉強になりました。マンネリ化していた仕事を考えなおす良い機会になりました。
医学・薬学・看護学・歯科学,2016年8月10日,4,予想通り良かったです。,しっかりと梱包されており、本の傷みもほとんどなくとても良かったです。
医学・薬学・看護学・歯科学,2018年1月9日,5,初めての人にも優しい説明とイラストが魅力的,ユマニチュードを学ぶのが初めての人でも分かりやすく覚えやすいです。
医学・薬学・看護学・歯科学,2016年12月21日,5,満足,大変、勉強になりました！臨床の現場で、役に立てたいです
医学・薬学・看護学・歯科学,2014年10月2日,5,すぐに来ました,勉強会で使いたくても本屋さんでは取り寄せだったので、すぐに見つかり配送も早く便利でした。
医学・薬学・看護学・歯科学,2015年7月16日,4,読みやすいです,認知力の低下している人だけでなく、ケアすることを仕事としているすべての人に当てはまる技だと思います
医学・薬学・看護学・歯科学,2017年8月23日,4,内田　博,ユマニチュードの哲学を分かり易く勉強できました。とてもよい本です。
医学・薬学・看護学・歯科学,2016年3月13日,5,良かったです,スグに届きました！本も綺麗でした。また、機会があれば宜しくお願いします
医学・薬学・看護学・歯科学,2016年5月21日,5,ありがとうございました。,とてもおもしろかったです。そしてとても読みやすかったです。さっそく実践してみます。
医学・薬学・看護学・歯科学,2014年10月19日,5,すべての人に読んでもらいたい本,介護にたずさわる人はもちろん、そうでない人にも、ぜひ読んでもらいたいお勧めの本です：本当の“コミュニケーション力”とはなにかという「心」と“どうすれば伝わるか”という「技術」の両方を学習できます。
医学・薬学・看護学・歯科学,2015年2月15日,5,ユニマチュードは技術であり哲学です,ユマニチュードのエッセンスがイラスト入りで上手にまとめられており大変良かったです。
医学・薬学・看護学・歯科学,2014年11月16日,4,わかってたはずだけど。,わかっていること、やっていること、違うんだなーと感じました。正面にまわって自分を感知してもらう事実践しています。
医学・薬学・看護学・歯科学,2014年10月11日,5,とても勉強になりました。,大きな人間愛に基づいたユマニチュード、勉強になりました。このような理論を実践してくれる病院が数多く増えればよいとおもいました。
医学・薬学・看護学・歯科学,2014年8月27日,5,この本のいいころ,これから、この認知症ケア技術を学んでスタッフの専門性を磨ける1冊になるでしょう。とにかく図説が多く、わかりやすい！
医学・薬学・看護学・歯科学,2014年10月28日,4,参考になってます。,介護や看護の基本を、より積極的に実行するためには、いい本だと思います。なに？意味分かんない！と思った人は、読むといいですよ。
医学・薬学・看護学・歯科学,2014年10月5日,5,ten,老年の実習前に読みました。患者さんとのコミュニケーションを取るために参考になりました。老年期だけでなく、患者さんと関わるうえで大切な考え方だと思いました。
医学・薬学・看護学・歯科学,2014年10月13日,5,介護に必要,これから親の介護生活に入るかもしれない身として参考になりました。
医学・薬学・看護学・歯科学,2014年12月7日,5,最高ですね。,ネットで実演ししていたのを見て、興味を持ちました。実際、困った事があった場合に活用できますね。最高ですよ！
医学・薬学・看護学・歯科学,2015年4月20日,5,よかったです。,とてもよい状態でした。内容もわかりやすく購入してよかったです。
医学・薬学・看護学・歯科学,2014年10月5日,5,見習うべき教え,簡単な事が出来ていない多くの福祉現場 で広く学ぶべき教えだと思う
医学・薬学・看護学・歯科学,2015年6月24日,5,非専門家にもわかりやすいフレームワークと豊富なイラスト,評者の周囲には認知症の人はいないが、高齢化してゆく両親や近所の人に対してどのように接すればよいのかということを考えるために本書を購入した。評者は学生時代のときに教員免許取得のために老人ホームで介護体験の実習に行ったときに、施設の高齢者とどのように接すればよいのか悩んだ。現在でも、地域の高齢者とどのように接すればよいのか試行錯誤している。本書を読んで、高齢者の方の表情の豊かさを意識するようになり、老人ホームで働く職員の方が楽しく働いているのか語ってくださった意味が少しわかったような気がする。評者の場合、ソフトウェア開発の仕事に従事している影響で、表情やしぐさ、ボディータッチなどの非言語コミュニケーションをすっかり忘れていたので、知覚の連結を少しずつ学んでゆきたい。また、評者は「ウォートン流 人生のすべてにおいてもっとトクをする新しい交渉術」を通じて、相手が望んでいることや他者の感情を配慮せずに失敗したことの多い評者の人生を反省して、その練習教材として本書を選んだ。交渉の練習という点では「相手の頭のなかの絵を見る」自分と相手の役割を交換して考える題材になる。相手を尊重しているということを伝えるという目標を実現するために、出会いの準備から再会の約束までそれぞれのステップでどのように行動をとればよいのか豊富なイラストで示され、また、どうしてそのような行動を選ぶのかについて考え方が丁寧に示されており、非専門家でも読みやすい。ルメルトの「良い戦略、悪い戦略」では、良い戦略の特徴として基本構造の「診断、基本方針、行動」が本書にも見てとれる。状況をどのように分析して、どのような方針のもとに、無数の行動をコーディネートするのかということを明快に説明されている。
医学・薬学・看護学・歯科学,2015年10月7日,5,日々一つ一つ練習することが大切,お年寄りとかかわるすべての人に向けて、知っておきたい動作の基本について平易な言葉で説明されています。お年寄りのかかわりというと、看護師や介護士の分野と思いがちですが、この本は医師の独自の関心によって書かれています。いわゆる生物医学的な関心だけでなく、人と人とのかかわりをなんとかよくしようとしている、著者の熱いスピリットを感じました。ただし、読んだからといってすぐにできるようにはならないでしょう。私を含め、自分の人生の中でそんな風に扱われたことのない人間が、違うやり方で他人にかかわろうとするのですから、簡単そうに見えても体得は難しいはずです。(誰動作の途中で後ろから名を呼んだり、手をぐいっと握って連れて行ったりといった動作を絶対にしない人もいるのかもしれませんが。)紹介されている動作すべてを一度に実践するのではなく、「今日は正面からの声かけ」「今日は手首でなく肘を支えてみる」など、一つ一つ練習して、意識しなくてもできるようになるまで体に覚えこませる必要があるでしょう。
医学・薬学・看護学・歯科学,2014年9月27日,4,やっと本がでた,ユマニチュードがテレビなどで紹介され興味を持ったが、詳細についての日本語資料がなく、なんとなくしか内容がわからなかった。やっと日本語の本が出たのでどのようなものなのか勉強ができた。中身は文章もそんなに多くなく、ユマニチュードという特別な技術を学ぶというよりも介護への心構えを学べるというようなもの。介護に携わる初心者に読んでもらったり、介護現場の新人教育に活用したい。
医学・薬学・看護学・歯科学,2014年9月5日,4,題名だが中身はやさしい,題名はカタカナだが、内容は難しくない。内容を、極々簡単に言えば、認知症の方への接し方は、「０歳から２歳くらいの我が子へ接するのと同じようにすればいい」ということだ。これからの高齢化社会を考えると、認知症の方が身近にいる、いないにかかわらず、認知症の方への接し方の基本的なことを知っておくことは大切と考えており、有意義な内容であった。
医学・薬学・看護学・歯科学,2018年5月5日,5,久しぶりに納得。いい本。地味な努力を!,“地味”なんて！　とお叱りを受けそうです。が、表題のとおり。本の帯裏面に『この本には常識しか書かれていません。云々』と書かれています。確かに、内容のほとんどは、この世界で生きてきた僕にとってすでに知っていることのほうが多かった。初めて知ったな、と思ったのは、歩くときの支え方くらいだったでしょうか。でも、久しぶりにじっくり読んだ。僕は介護事業所をやっています。ここで働いてくれている職員にもこの本の内容のことを伝えた。これ職員の人数分買って配ろうかどうしようか迷ってます。『視覚・聴覚・触覚』→『見て、話して、触って』のテクニック。そのテクニックもおそらく常識的と言っていいもの。売り上げや、業務の効率化などが、有言無言で優先化され、職員に対しても『とりあえずこの程度できていればよしとしよう』とか『それはやりすぎ』だの『気が利かない』だの、くだらない話に熱が入る？、いや、そんな話すらする気にならないような状況も、この本を読んでいると『やってみよう』と言う気になるかも。
医学・薬学・看護学・歯科学,2015年2月23日,5,ユマニチュードは、スキルの見直しになりました。,NHK放送後ずっと気になっていた、ユマニチュード。多忙な看護業務の中、ネガティブな感情を与えてしまっていたと反省。大脳皮質の一次感覚野で患者さんは素早く反応してるんです！この本のおかげで、明日から業務じゃなくて、心地良いケア挑戦してみようってスイッチ入りました。
医学・薬学・看護学・歯科学,2014年12月6日,5,すばらしい本,是非色々な方に読んで頂きたい本です。この分野の専門家の身内に紹介して貰った本です。実践してみても効果は絶大でした。目からウロコとはこの事ですね。
医学・薬学・看護学・歯科学,2014年9月8日,5,いい本だと思います。,介護の仕事をしています。優れた介護士は、ユマニチュードという言葉を知らなくても、こういうことが出来ていると思います。考え方だけでなく、技術として書いてあるので解りやすいです。最後のQ&Aで、転倒したらどうするんですかという質問に対して、｢より良い健康状態を保つためには、転倒もそのなかでおこりうる事の一つである｣と答えてるのは、なかなかだとおもいます。
医学・薬学・看護学・歯科学,2017年8月17日,2,ユニマチュードは興味深いが。。。,NHKの紹介番組を観て、ユマニチュードに興味を持ちました。商業指向なのか、セミナーはとっても高額なので、まずは入門書をと考え購入したのですが、この本は内容が希薄で、NHKの紹介番組の方がむしろ役立つ情報が豊富です。書店で流し読みして納得されてから、購入することをお勧めします。
医学・薬学・看護学・歯科学,2015年1月3日,5,悩む前に読んでみるのも良いかも。,初めての介護（直接ではありませんが）、どう対応したらいいか解らないので。購入しました。個人差（温度）は有りますが。それなりには理解できる様な気がします。初めの一歩としてはとても良い本だと思います。
医学・薬学・看護学・歯科学,2014年8月3日,4,当然の行為・働きかけがいかに重要か・・・少々驚きました。,普段のかかわり方を如何に人間として、人間らしくかかわっていくことの大切さを痛感！！職場でみんなに広めていきたい。コツコツと・・・。
医学・薬学・看護学・歯科学,2014年7月12日,5,興味をそそられるものです,とてもわかり易く、挿絵も優しい雰囲気で内容の理解を深めるものでした。高齢者に対する接し方は、幼児に対する接し方と共通するものでもあると痛感しました。
医学・薬学・看護学・歯科学,2014年8月23日,5,歩くという事が以下に大事なことなのか、考えさせられました。,介護の仕事してますが自身もそれに近い年代になっています。健康で歩いているのに歩けなる事は考えられない事、今の自分には。そんな事も考えながら勉強したいと思います。仕事にも自分の家族、周りの人の為にも。
医学・薬学・看護学・歯科学,2014年11月12日,4,介護関係者には必読でしょうね,ユマニチュードの提案については反対はないにしろ、実現可能性とか費用対効果という点からの保留はありうると思うのですね。でも、そのためにも読んでおく必要があると思います。
医学・薬学・看護学・歯科学,2015年1月26日,5,なんかすごく好きです。かなりお勧めします。,"先に、この本には、当たり前のことしか書いていません。しかし、日々の多岐にわたる業務の中で、または決められた枠内や時間の中で、なかなか実践できないことでもあります。また、忙殺のあまり、わかっていながらも実践できないことでもあります。ですが、それは患者さん等に接するこちら側の意見であり、患者さんからの意見ではありません。患者さんたちも、その方々をケアするほうも、同じ人間です。
それは誠に当然のことです。そして、ケアを提供する側の私たちは、患者さんたちのために存在しています。それも誠に当然のことです。しかし、あまりの忙しさに、笑顔を作る余裕もなくなって、まさしく忙殺されてしまうこともよくあることなのではないでしょうか。毎日へとへとになるまで働いて、そんな余裕はない。でも、忙しくても患者さんたちの表情に、少しの間でも笑顔が浮かべば本当に良いのに。同時に思うのではないでしょうか。この本は、患者さんの自助能力を高める要素がたくさん詰まっています。
人と人。大事なことはぬくもりを伝えること。誰だって大事にされたいと思うのは当然です。ここにいても良いんだと思えることは、人として大切な尊厳を取り戻すことでもあると思います。この本には患者さんのケアをするほうにとっては、当たり前のことばかりです。ですが、本当に大事なことばかりです。
買ってよかったと心から思いました。"
医学・薬学・看護学・歯科学,2014年8月28日,4,良かった,知らなかったら、このまま無力感に苛まれてただろう。知ってて良かったと思いました。
医学・薬学・看護学・歯科学,2015年3月6日,5,みなさんにお勧め,介護だけでなくて、人として、大事なことだと。子ども含めてみんなが読む機会があったらと思いました。素晴らしい本です。
医学・薬学・看護学・歯科学,2014年8月18日,5,満足してます,日々の考え方、行動が整理できました。入門編から応用編などの発刊を期待しています。
医学・薬学・看護学・歯科学,2014年7月26日,5,いい内容です。,職場で広めたいと思います。心が揺さぶられる本です。人と関わるお仕事の方は是非読んでほしいです。
医学・薬学・看護学・歯科学,2014年8月23日,3,介護のよい手引き,予想していたとおりわかり易かった。ＤＶＤの方がもっといいかも。
医学・薬学・看護学・歯科学,2016年1月6日,4,革命本,認知症ケアには革命的本の１冊でした。ただ説明がアバウトな部分というか・・・これのDVDと組み合わせすると良いケアの実践につながるかと思います。ちなみに私は認知症ケアの専門家です。
医学・薬学・看護学・歯科学,2014年11月14日,3,ごく当たり前の事が。,配達された当日に読みました。分かりやすく勉強になります。ごく普通の事が大事である事に気が付かされました。
医学・薬学・看護学・歯科学,2014年10月10日,5,再認識できました。,当たり前の事ですが、高齢者の接し方について、考えさせられて、再認識できました。
医学・薬学・看護学・歯科学,2014年10月12日,4,わかりやすく実践向き,会社の勉強会の資料として使っています。わかりやすく実践向きです。DVDと併用するとなえわかりやすいと思います。
医学・薬学・看護学・歯科学,2014年9月5日,4,素晴らしいです。・・・が,"具体的な対応が示されていて参考になりました。この技術を自分なりに広めていきたいと思います。
ただ、「自閉症」に関する記述が不適切で、Ｄｒなのに正しい理解をされていないことは残念です。"
医学・薬学・看護学・歯科学,2015年2月17日,5,はじめて,とても興味のある内容で良くて気に入りました。今後とも宜しくお願いします。
医学・薬学・看護学・歯科学,2016年2月1日,5,早く知っていたら良かった。,医療技術者から家族まで、色々な人に読んでほしい。介護の現場だけでなく、教育や家庭内でも大事な事を教えてもらいました。
医学・薬学・看護学・歯科学,2018年4月23日,5,参考になりました,最近、認知症の勉強会などでよく聞く言葉で、気になって購入しました。今自分たちが行っている事とどこがどう違うのか、活字だけではわかることとわからないことがあります。もう少し詳しく知りたいところですが、大まかな内容を知るのに参考になりました。
医学・薬学・看護学・歯科学,2016年5月26日,5,介護士としての誇り,短時間で読むことができました。現在施設に勤務する介護職員は理想と現実の狭間で思い悩み、いつしか現実に慣れてしまい、理想に近づくことを止めてしまうこともあります。そのような状態に革命を起こすことができるのが、このユマニチュードではないかと思いました。当たり前だけど、人としてとっても大切なこと。忙しい介護現場ではありますが、工夫し、ユマニチュードを実践できたならば、きっと介護士としての誇りと利用者の尊厳を守ることができるのではないかと思いました。
医学・薬学・看護学・歯科学,2016年6月28日,4,喜ばれました,看護師をしている妹に頼まれて注文しました。患者ケアにとても役立ったと言っていました。
医学・薬学・看護学・歯科学,2015年2月16日,5,買ってよかったです,解りやすく、仕事にとても役立っています。ぜひ、介護される方にはお勧めです。
医学・薬学・看護学・歯科学,2015年8月19日,5,これぞ介護,"特別なことではないのに、目からうろこの介護です。寝たきりのない海外事情がよくわかります。
いつまでも人として生きる、人としてお付き合いする大切さを学びました。"
医学・薬学・看護学・歯科学,2014年8月12日,5,すべての人へ,「これからの切実な高齢化社会」と暗くなりがちですが、人間の優しさについて考えさせられ、また勇気が持てる実践書だと思います。ユマニチュードの内容は現在様々なメディアを通じて知ることが出来ますが、その入口へ連れて行ってくれる入門書としてこれ以上ない良書だと思います。ケアで疲れすぎて、こんなの理想論と言わず、一度最後まで読んでみることをお願いします。大げさではなく、次の日から少し世界が変化します。
医学・薬学・看護学・歯科学,2014年11月3日,5,患者への技法としての介護法の新しさ,"本田・ジネスト・マレスコッティ「ユマニチュード入門」（医学書院）フランスで創造されたあらたな介護（ケア）の本を読むとは思わなかった。購入した主たる理由は、ケアをケアをする側のこころの問題としてではなく、技法の問題として伝えることにあった。ここでいう技法とはなにか、それを知りたかった。技法とは、誰にでも―誤解を招く言い方をすれば―かりにこころがなくとも、この技法をつたえればつかえば、こころがそれについてくる、というものだ。その意味は、技法を効果的に効率的に行うためには、相手を「見ること、話すこと、触れること」がなければ不可能であるから。たとえば：ヒトを立ち上がらせようとするとき、「わきをあげない」のは「高齢者の肩関節の脱臼につながる危険性」をもっているからであって、そうすることがぞんざいであるからいけないということではない。結果として、ケアをうけるヒトへのやさしさにつながる。「見ること」とは「見ない」相手の「視線をつかむこと」、相手を見ない」ということは、すなわち、「あなたは存在しない」というメッセージを発していることにほかなりません。」だから、見ることとは、「近くまでぐっと寄って視線をつかむ」「スプーンをしっかり目の前で見せてから食べてもらう」こと。「触れること」とは、「広い面積で、ゆっくりと、優しく」とは。「触れる」とき、「皮膚から伝わる感覚の情報は場所によって違う」。「手や顔、唇からの情報が大脳の体性感覚野に占める割合が大きい一方で、逆に体幹や上下肢からの情報が占める割合が小さくなっています。」だから、いきなり手や顔を触れてはならず、上腕や背中から触れるという。「顔は極めてプライベートゾーン」にあるから、「いきなり顔に触れるのは相手のプライベートな領域に踏み込みすぎている可能性があります。そこで拒否的な反応を示されるのは当たり前のことなのです。」「つかむこと」が相手にあたえるメーッセージは、だれかにどこかに連れて行かれるというマイナスのメッセージをつたえるから、ふれることが大切！ふれるとは、「飛行機の離着陸のイメージ」で、こうすることで「皮膚の緊張感が解ける」から。「立つこと」がケアにとってもっとも大切なことだ。なぜなら、「立つ」とは、「多様な組織・器官に対して生理的によい影響をおよぼします」から。骨・関節系　骨に荷重をかけることで骨粗鬆症を防ぐ。骨格筋系　立位のための筋肉を使うことで、筋力の低下を防ぐ。循環器系　血液の循環状態を改善する。呼吸器系　肺の容積を増やすことができる。四〇秒立っていられれば、それであれこれできる。それゆえ、「立たせる技法」が大切となる。「立位介助をするときその人の体を持ち上げてしまうと」どうなるか、「足の裏が支える自分の体重が減ってしまいます」から、「大脳に送られる知覚情報は、本来の体重よりも少ないもの」として伝えてしまい、本人は立つとは「どのように筋肉に力をいれ、関節を動かせばよいのか」、という指令を脳が誤って伝えてします。そこで結論、「体を持ち上げないこと、そしてケアを受ける人に「体を持っていますよ」と言わないことが重要です」ということになる。この技法の最後は、「複数の知覚情報を矛盾させない」、いいかえれば「知覚の連結」の大切さである。知覚の連結とは、「視覚・聴覚・触覚の三つの感覚へポジティブなメッセージを同時に伝えることによって、ケアを受ける人が心地よく感じられる状態、それをユマニチュードでは《知覚の連結》と呼んでいます。」「見る・話すこと」よりも「触れること」の基本的な技術が大切だ。「「触れる」についてはこれまでの習慣から、無意識のうちに”心地よさ”よりも”効率”を重視した動きをしてしまいがちです。」それを避ける技法としては「黒衣とマスター」技法を使うという。黒衣は話すことでなく触れること―体を洗うことーに徹し、マスターは触れることでなく見ること、話すことに集中すること。最後に「感情の固定」により、再会への期待をいだく。それには、ケアの内容を前向きに確認する―「シャワーは気持ちよかったですね」―。相手を前向きに評価する。共に過ごした時間を前向きに評価する―前向きな言葉、友人としての動作で、ポジティブな「感情記憶」を残す―。
＊ 　　　　　＊　　　　　＊　　　　　　＊
ユマニチュードの技法がもっとも意味あることはなんであろう？ケアをする側の目的が、ケアをうけるヒトが自立すること、そのレベルを引き上げることにあるとすれば、ケアのレベルを設定することが先決。
① 健康の回復を目指す、②原罪ある機能を保つ（脳梗塞語のマヒが進行させない）、③回復を目指すことも、原罪ある機能の維持をすることも叶わないとき、できるかぎり穏やかで幸福な状態で最後を迎えられるように、死の瞬間までその人に寄り添うこと（末期のガンの緩和ケア）。その目的に向かって彼（彼女）にとってもっとも有効なものはなにか、ということであろう。それをユマニチュードはケアの技法というかたちで体系化している。技法は、ケアをうける側をしっかりと見て、話して、触れて、もっとも自立する上で有効な技法、それをかたちづくる上で有効なケアを受ける側の感情―心地よさ―、脳の作用と肉体への影響という科学的分析についての検討が基礎にあることを忘れてはならない。そうした経験から導かれたデータを、他方、人間観察という経験と医学、心理学、社会学などの科学的知見にもとづいて」技法」にまで高める、そこにユマニチュードの考えかたと方法がある。それでも、ケアをする側はけっして易しいことではないのは言うまでもない。いくらユマニチュード技法でやっても、相手は無視する、思うような変化は見られない、これは技法の問題か、技法の底にある哲学の問題か、それとも技法に導く経験の集積とケアを受けるヒトへの「見ること・話すこと・触れること」から得た体験の読みかた、考えかた、そしてそれから技法にまで―つまりは、ケアをする側の個人の受け止め方をこえて、伝播された技法―、突きつめられなかった、わずかな「失敗」か、考えなければならない。冒頭の私の本書の読み方にもどる。著者とその膨大な経験の集積にもとづく技法の意味からすれば筋違いではあるが、私は、ユマニチュード技法はわたしたちが日常に出逢う関係―夫婦、親子、親戚、隣近所、そして社会との関係―の問題でもあると思う。いつも一緒に生活する女房との関係で、ユマニチュードの技法を使わなければと思う。なぜなら、ヒトとの関係でユマニチュードの技法にならって考えたことがないから。"
医学・薬学・看護学・歯科学,2014年8月10日,5,応用が広範囲,内容は認知症患者対策ですが，コミュニケーション，人間同士の絆の作り方の基本を示してくれていると思います．看護や介護など医療関係者だけでなく，人間であれば読んで損はない内容です．いや，人であるなら読んでおきべき本です．絵が多く，文字が少ないので，とても読みやすく，読み終わるのも早いです．お勧めです．
