ジャンル,投稿日時,星の数,見出し,レビュー全文
文学・評論,2006年6月18日,3,確かに売れそうだけど・・・,読み始めは面白いのだが、後半に隠れていた犯人？がはっきりしてからがうんざりもの。売れたのは、宣伝の賜物かと。もっと、薀蓄部分をうまく使えていたら一級品になれたと思う。シリーズ三弾目に期待します。いい作家にはなれると思うので。
文学・評論,2004年12月7日,4,キリスト教とではないのですが。,"キリスト教徒ではないのですが、ダビンチファンなので、買ってしまいました。でも、なんか新書のような、シナリオ本のような。活劇パートと薀蓄パートがはっきりしていて、小説としては今ひとつです。
映画ではうんちく部分が上手にできていると成功するのではないでしょうか？"
文学・評論,2006年12月12日,5,鮮やかなミステリー,キワモノと思い敬遠していた自分がアホだった。主題の是非はさておき、優れた推理小説だと思う。ダ・ヴィンチが絵の中に残した「暗号」と秘密。それを守り続けるためにさらなる「暗号」を残すジャック・ソニエール。ひとつひとつ謎が解かれ、こたえが明かされていく瞬間が見事。膨大な知識とシドニィ・シェルダンのような読みやすさ。何より無駄や饒舌な記述がなく、読んでいてモタつかない。登場人物は全員が確固とした信念を持ち、いいかげんさが全く無く、悪役でさえも強烈な個性を放っていて引きつけられる。ラストでのファーシュ警部とコレ警部補のセリフやアリンガローサ司教とシラスの心の交流など、簡潔な表現で胸に響く。単行本上下２巻は１段組なのでそんなに長くない。何よりスピード感があるので一気に読みたくなる本。
文学・評論,2004年6月28日,5,無知蒙味,人間は先入観があればあるほど真実を見抜くことができない。ちょっと違う角度で、ちょっといつもとは違う高さで物事を見れば、一筋の道筋が開かれる……そんなことはとうの昔に分かっていたつもりだった。しかし所詮『つもり』だったようだ。レオナルド・ダ・ヴィンチの名作「最後の晩餐」は、誰もが一度は写真なりで目にした事のある超一級の絵画だ。我々は、その写真の下に書いてある解説を何の疑いもなく読み、それに沿った見方しかしていない。いや、できていない。歴史の教科書に書いてあることが全て本当のことであるかのように錯覚をする。そう、本書にも書かれているように「歴史」とは、その時の為政者の都合によりさまざまな改竄がなされているのだ。勝者の意向で歴史は作られる。当たり前のことが分かったつもりで、分かっていなかったそんな自分を再発見し、腹立たしくなるような小説だった。欧米人のバックボーンである「キリスト教」。これを理解しなければ、欧米人を、その文化を理解することはできない。美術・音楽・宗教・歴史…あらゆるジャンルをスパイラルしながら練り上げて行き、ひとつの壮大なスケールの物語を展開している。この筆者を天才と呼ばずして誰を天才と呼ぼうか。
文学・評論,2005年5月18日,5,ドキドキと知的好奇心と,一気に読んでしまいました。美術のこともキリスト教のこともよく知らない私も、物語にぐんぐん引き込まれていきました。場面や心情の描写がとってもリアルで、登場人物たちの近くで自分も体験しているような気になってきます。初め鈍くさそうに感じたラングドンも次第に魅力を発揮して、頼もしく感じます。早く続きを読んで、いろんな謎が解けていく快感を味わいたい！また殺人の容疑をかけられて追われるスリル感もたまりません。ダ・ヴィンチとその作品について、それからキリスト教の歴史について、もっと知りたくなりました。関連本も買ってみようかな～。
文学・評論,2004年6月12日,5,読み始めたらやめられない,この本は，ヨーロッパ2千年の歴史の中でも指折りのミステリーをテーマに使った，大変に贅沢なスリラーである．それ故に，キリスト教の教義とその歴史，また異端的な哲学の歴史についての一通りの知識が前提として要求されるため，この種の方面に弱い人にはお勧めできない．同時に，熱心なキリスト者にもお勧めしない．始めに，ルーブルの館長の壮絶なダイイングメッセージが夜のルーブルに提示される．この物凄いメッセージが殆ど全編を支配する．主人公（ハーバード大教授）と女主人公（フランス国家警察暗号解読官）は，館長殺しの容疑をかけられた状態のまま，館長の正体とダイイングメッセージの意味を追ってフランスからエディンバラまで24時間で駆け抜ける．そうして浮かび上がってきた真相は．．．書くわけには行かないが，買って損のない情報が含まれていることは保証する．ただし，私はイギリス版で読んだ．翻訳は優秀と思われる．
文学・評論,2005年3月22日,5,非常に良かったです。,聖杯伝説や、秘密結社・陰謀設等が大好きなのでこれは読まないわけにはいかない！！と言うことで読みました。これだけの歴史的背景をバックにして書いているのに、注訳も無くかと言ってひっかかりもなく一気に読めるところは良いですねえ。これが真実であるか無いかはともかく、宗教をどうとらえるべきか一助になりました。「レンヌル・シャトーの謎」を読んでいる途中で何ヶ月も頓挫しているのでこの機会に読み直そうと思っています。また女性蔑視の歴史は日本にもあることだし、現代の日本で一番大きな関心事に強引に持っていってもいかも・・・？しかるべき血筋の女性がその地位につく、そういう女性が登場しても良いかと・・。「ダ・ビンチ・コード」に出てくる歴史的背景は、日本の歴史にもそのまま置き換えてみることもできると思います。わたしは日本史も世界史も大好きで、聖書が編纂する側に都合良く書かれている点では大日本史編纂や排仏論争などどの国も同じだと思いました。
文学・評論,2014年12月23日,4,まあ読んでみなさい,映画にもなったので、タイトルはご存知だと思います。本も持っているのですが、もう一度読みたくて電子ブック版も購入。
文学・評論,2004年9月6日,4,全米800万部のミステリー小説を読んでみる,まだお読みになられていない方のために、内容には一切触れないことを肝に銘じて書き進めます。疾風怒濤のスピード感で読むことができたのは、各章が比較的短く、さらに個々の章の終わりに「えっ？なになに？どうなっちゃうわけ？」が待っているからです。さらにあるダイイングメッセージ（この小説の根幹を成す多層的複雑怪奇なシロモノ）の秘密を解き明かしていく上で、「世界ふしぎ発見！」（ＴＢＳ系列）を見ているかの如く、これまでの西洋の歴史の通説をひっくり返すようなびっくり仰天の事実（仮説？）が読者に提示されるのです。竹内久美子の「そんなバカな！」（文春文庫）以来の目ウロコ本でした。著者の前作「天使と悪魔」（角川書店）を見逃していたことを悔やむ。急いで探して読まなくては。
文学・評論,2014年2月25日,5,面白かった!,映画からはまってやっと小説を読みました。映画→小説の順番で正解だったと思います。小説の中でしか語られていない部分に共感しました！
文学・評論,2006年7月11日,4,映画を先に観ました。,まず先に映画を観ました。一緒に観に行った友人は先に原作を観ていたのですが、結論から言って、映画を先に観た方が本も楽しめるのでは・・？と思います。映画ではサラっと流された部分が小説ではちゃんと詳しく書いてあったし、より一層理解が深まりました。私はあまり普段は小説など読まないのですが、上・中・下巻とも読破できましたので、活字が苦手な人は、先に映画を観ることをオススメします。
文学・評論,2004年8月4日,5,クライマックスは最後にある,このコメントは，既に読み終わり，下巻の方がつまらなかったと思っている不幸な人に対する案内である．何かを感じ取れなかったのだ，と考えられる．筆者がそう思う理由は，広い意味での聖杯が，実は三つの事項から成ることが全面的に明らかにされるのが第60章 (日本語版では 60 )においてであり，その三つ，即ち聖なる女性の遺体(つまり，墓)，それに付随してその真正を証する文書，そして何よりも，聖なる女性が伝えた王の血統を今に伝える人たちが出揃うのが第104章以下だからである．これは他でもない聖杯を扱った物語なので，もう一度読んで下さい．なお，人物の性格描写がないとの批判には，この翻訳ではどうしようもない，と答えたい．なぜなら，何をどのような言い方で言うかこそが性格で，英語ではそのための書き分けがしっかりしているからである．
文学・評論,2005年1月17日,3,ミステリーとしてはイマイチ,周囲がみんな読んだというのでトライしてみましたが、普段かなりの数のミステリーを読んでいる私にとっては「えっ？もうおしまい？」というのが率直な感想でした。ダヴィンチの多彩な才能や、数々の彼の作品にまつわる謎については面白いと思いましたが、登場人物の特徴のなさや、エンディングの平凡さなどが気になり、それ以外は特に感銘を受ける作品ではありませんでした。ただ読みやすいですし話題の本なので、友達に借りて読むにはいいかも･･･。
文学・評論,2006年5月3日,3,あまり期待しないほうがいい,さすがに世界的ベストセラーだけに、読み始めるとグイグイ引き込まれて止まらなくなるが、下巻途中で話がだらけてしまう。トリックが多すぎてリアリティーに欠け、謎解きもなんだか興味が薄れていく。クライマックスも中途半端で読み終わっても感動しなかった。プロローグの前に、この小説は事実に基づいていると書かれているが、鵜呑みにするには危険である。確かに、聖杯やマグダラのマリア、シオン修道会とレオナルド・ダ・ビンチの関係は興味深いが、よく調べるとオプスデイなどは中立的に見て偏見があると思われる。３０年ほど前にＦ・フォーサイスの「ジャッカルの日」を読んだ時を思い出したが（フォーサイスはその後ほとんど読んだが）残念ながらダン・ブラウンの他の作品を読む気にならない。
文学・評論,2006年4月27日,4,言わずと知れたベストセラー!,キリスト教史と宗派、表象学……。インテリのおいしいトコを付く、また、展開が目まぐるしい。というスピード感。すぐに読める。し、いいところですぐに休める。つまり章立てが丁度めんどくさくない長さ。ちょこちょこ休みながら読めます。でも、時折フランス語に発音のカタカナが振ってあるが、はっきり言って酷いです。それ以外は結構楽しめる。良書！
文学・評論,2006年6月16日,5,噂どうり!,噂を聞いて読みはじめたミーハーです。始めは「キリスト教の事とか知らないし…」と思っていたのですが、読んでびっくり。全てが本編内で説明されているので臆する事無く読むことが出来ます。上巻では主人公ラングドンが殺人の容疑者として警察に疑われ、逃走をするまでが書かれています。
文学・評論,2017年3月15日,5,伝説好きにはたまらない,スピード感があって読みやすくて、面白い！中世ヨーロッパの歴史や史実もあり、旅行してみたくなるでしょう。
文学・評論,2005年7月15日,3,「薔薇の名前」と比べるとね・・・,どうしてもウンベルト・エコ「薔薇の名前」と比べてしまう。確かに、グノーシスやらマグナラのマリアやら、近年のキリスト研究の成果がちりばめられていて、それはそれで面白い。でも、それは素材の面白さである。「薔薇の名前」は明らかに70年代イタリアの「鉛の時代」を色濃く反映している。ちりばめられた膨大な知識は、反逆の正当性へと捧げられている。他方「コード」はどうか。ストーリーはありがちで、一応フェミニズム的な問い返しがなされていてそれはそれで重要なのだが、結局主人公の一人の女性の人間像はえらく規範的で、型どおりに推移していってしまう。だから多少キリスト教に興味があったら面白い、というものだろう。キリスト教徒がはまるのはよくわかる。異端的なわりにポピュラーだから。こうした物語が冒涜的と捉えられずに人気を博すようになったのも、時代の変化なんだろうか。
文学・評論,2006年4月2日,5,国家宗教の原点は同じと言うことか,この小説は、キリスト教が国家宗教として採用された経緯を露わにしようとする勢力とそれを阻止しようとする勢力の闘争ですね。ローマ帝国の太陽神を崇めるアニミズムにキリスト教を如何に同化させたか？当時分裂の危機に瀕したローマ帝国を元に戻そうとしたのが、皇帝のコンスタンチヌスだった訳で、彼がやったことは、自然神とキリスト教の融合だったわけですね。何のことは無い、昔の日本人（聖徳太子や藤原鎌足等）がやったことと全く同じですね。当時の日本は神道（アニミズム）で、そこに外来の仏教がやってきた訳です。やがて、現地神と仏教は同化します。所謂、神仏習合と言うものですね。神社とお寺が同じ所にある、と言うもの等。それと同じことをキリスト教もやっていた、ということが判っただけでも読む価値はあります。これがキリスト教国でセンセーショナルなのは判ります。今まで、アニミズム即無教養と考えられていましたからね。小説のストーリィ自体はたいしたことはないですがね。
文学・評論,2007年5月8日,1,完全に話題先行、営業優先、読者はどこに?,まず、３冊に分ける理由がない。商売上の理由意外は。次に文章がつまらない。読んでいるうちにネタが種切れ。更にプロットも生半可で練れていない。同じテーマでこれよりも早く出版されて、文章もプロットも優れている、坂東真砂子の「旅涯ての地」のほうが良い小説です。良い小説とは、読者を物語の世界に引き込んで、読み終わった後に考えさせる小説です。物語の余韻を残すのです。記録に残る小説よりも、記憶に残る小説が良い小説です。残念ですが「ダ・ヴィンチ・コード」は良い小説の資格を備えていませんでした。
文学・評論,2004年7月10日,5,種本について,"この本には実に豊かな雑学が組み込まれていて，それがこの本の魅力の一つになっている．この雑学の出所については，既にエンリルさんの示唆 (The Holy Blood and the Holy Grail) があるが，私は敢えて ""マグダラとヨハネのミステリー"" (原題 The Templer Revelation) を種本として指摘したい．"
文学・評論,2006年5月9日,4,流行に関係なく読む価値ありです。,映画化されると聞いて文庫本を上中下3冊購入しました。最初は、慣れない宗教の話でしたが、事件が進む内に、完全にはまってしまいました。さまざまな登場人物とか、有名な絵画のスト−リ−など引き込まれる内容でした。
文学・評論,2004年10月13日,5,時間がなくても読む!,私は二児の母として日々忙しくしております。毎日子供に合わせて生活していると、なかなか読書の時間なんぞ取れません！しかし夫に薦められて読んで見るとドンドン物語に引き込まれてしまって、ついに貴重な睡眠時間を割いてまで読んでしまいました！物語に出てくる絵画は学生時代によく見ていたので、タイトルを聞けば「ああ、あの絵ね。」と思い出す事ができました。でも、その絵画にこんなに様々な謎や暗号が込められていたなんて！！！！ステキ～！！私はこのテの物語は大好きでっす！時間がなくても是非このミステリーに引き込まれてください。
文学・評論,2004年12月10日,1,深みに欠ける,全世界的に大ブームとなっているダ・ヴィンチ・コードですが、読み終えて正直がっかりでした。上巻は期待を持って読み進めますが、下巻に入ると物語の展開の幅に比べての残りページ数が気になり始めます。「これはもしかして大風呂敷広げたはいいものの、収拾がつかなくなるパターンか？」と、先が読め、さらにエンディングにいたっては…原語版はペーパーバックで発売されているのですが、日本語版はハードカバーしかも上下巻。この値段でこの内容、コストパフォーマンスとしてはよろしくありません。短時間でさらりと読めてしまう内容なので、人に借りるか、文庫版発売を待つ方が賢明でしょう。しいてよかった点を挙げるとすれば、パリの街の描写が的確で、訪れたときの記憶が鮮明に思い起こされた、という点でしょうか。
文学・評論,2006年5月18日,3,期待通り,映画上映前と言う事もあって啓発され、初めてダン・ブラウン作品を読みました。上・中・下纏めて購入し、一気に読み耽りました。面白かったです。ダン・ブラウンの他の作品のみならず、ミステリーを超えて新たな目で芸術作品を見たいと言う気持と芸術作品についての知識が得たい気持ちが強くなり、今後はそうした読書傾向が暫く続きそうです。
文学・評論,2006年4月3日,3,上巻だけでは魅力が伝わらない?中巻以降に期待・・・,"五月後半に公開される映画の前準備として購入。上中下の三巻分割で内容も薄いので比較的に楽に読めます。問題はこの本がﾋｯﾄした理由が、上巻だけでは伝わりませんでした ある程度のｵｶﾙﾄﾁｯｸな知識黄金比に関する知識1:1.61803...1:0.61803...黄道十二宮に関する知識ダ・ヴィンチに関する基本的な知識666に関する数字-> アレイスター・クロウリーについてではなく、純粋な数字の意味についての知識があれば、目新しいこともなく普通の小説です。素数の2乗の和が666になるとか
2(2乗) + 3(2乗) + 5(2乗) + 7(2乗) + 11(2乗) + 13(2乗) + 17(2乗) = 666
日本の硬貨を一種類づつたすと666とかぐらい知ってればほくそ笑んで読めます-> ヒネクレてますね ＞＜
これから、聖杯についての内容に移行するみたいなので中巻からに期待"
文学・評論,2018年5月15日,3,蘊蓄はあるが、含蓄はない,『天使と悪魔』、『ダ・ヴィンチ・コード』、『ロストシンボル』、『インフェルノ』を読んだうえでのレビューです。読み終わったとき、まず最初に思ったことは、「やっと読み終わった」でした。「ぐいぐい引き込まれ、あっという間に読んでしまった」という感想を聞いていたので期待しすぎたのかもしれませんが、途中で読むのをやめようかと思ってしまいました。どの作品も作中の経過時間はだいたい一昼夜なのですが、読んでいて感じたのは、なかなかストーリーが進まない、ということで、他のレビューにあるようなスピード感を私は感じませんでした。　『ダ・ヴィンチ・コード』で描かれている、人間キリストとマグダラのマリアの関係、現代に受け継がれるその血脈という説は西欧キリスト教圏では驚愕の、そして衝撃的な見解であるということは理解できます。ですが私は無宗教の日本人なので驚天動地の気分は味わえませんでした。作中、ラングドン教授や他の登場人物による講義や講演のシーンがありまが、「こんなつまらない講義でいいの？」と思うくらいぬるい内容だと思ってしまいました。また、ラングドンはハーヴァード大学の教授なのですが、象牙の塔の住人というより、インディ・ジョーンズばりのアクションシーン満載で、ミステリというより冒険活劇といった印象です。美術の博士号をもつ人物が登場するミステリは、約30年前のアーロン・エルキンスによる『偽りの名画』がありますが、こちらは芸術としての価値と個人の主観とを対比させ、その落差が面白く、わかるわかる、と共感できます。対して、ラングドン教授にはどうも共感できません。作品ごとに、ボンドガールよろしくラングドン教授のパートナーが登場しますが、事件が終わるとハイさようならで、ロマンスの余韻がありません。このネット時代にアドレス交換もしないんです。読了後思ったのは、書店で買わず古本ネットで買えばよかった、です。
文学・評論,2005年2月13日,1,初心者むき?,知的な興味や興奮を期待して読むと、がっかりするのではないでしょうか。当方、伝奇もの、推理もののすれっからしなもので、この程度の「謎」ではほとんど肩すかしにしか感じません。まあ、キリスト教国では、それなりに衝撃はあったのかもしれませんが。ストーリー展開もご都合主義が目立ち、こちらもアクション慣れした筆者は興ざめ。お正月あたりに公開される、大味だけどスピードとスケールで押しまくるハリウッド大作アクションって感じ。しかしこれらの点は、裏を返せば、伝奇もの、推理もの、アクションものの初心者でも、引っかからずにすらすら読めてわかりやすいということ。筆者の周囲にも「面白かった」「一気読みした」という複数の声があるのは、そのせいかしらん？
文学・評論,2005年3月16日,3,ふんふん,「ダ・ヴィンチ・コード」読みました。この本面白いんですけど、キリスト教関連のコネタ集って印象しか残りませんでした。ストーリーがなんかイマイチ。伏線を張って、刺客を送って、殺されそうになって・・・・で、オチがインパクトに欠ける内容。僕にはイマイチ。
文学・評論,2018年3月2日,5,ラングドン教授の謎解き第2弾は最高傑作,この作品は、緻密で詳細な検証を元に描かれて入れていると思います。宗教象徴学といういわゆるサインや（トレード）マークが専門の権威が事件に巻き込まれ、警察に追われながら、ルーブル博物館館長のダイイングメッセージを元に謎を解いていく。ハラハラドキドキの展開で、上下中巻一気に楽しめました。出てくる芸術作品はどれもが有名なもので、素人にも馴染みやすいです。ミステリー好きにはたまらない作品です。ラングドンシリーズでは、天使と悪魔に続く第２弾ですが、最初に映画化されました。アメリのオドレイトトゥはそんなに演技が上手とは言えないように思いますが、頑張っています。舞台であるフランスにこだわったのでしょう。小説の映画化は賛否ある作品が多いですが、これは小説よし、映画よしの代表ではないかと思います。映画も天使と悪魔、インフェルノよりもこれが一番好きです。日本では未発売のようですが、ゲームにまでなったそうです。みてない人はぜひご覧下さい。
文学・評論,2015年10月4日,5,そりゃ売れますわ,胡散臭い上に内容も思いのほか薄っぺらいが、異常なまでのリーダビリティの高さで怒涛のように突き進む。娯楽作品として圧倒的に面白いので、全てそれで良し。これ以上何を望むのか。
文学・評論,2006年2月16日,4,パリ観光のお伴におすすめ,この世界的大ベストセラーを私はなぜかハワイの砂浜で読み終えました。ハワイの燃えるような夕日と本書の雰囲気は全くといってマッチせず、もったいないことをしてしまったという後悔が今もあります。キリスト教色の強いヨーロッパ、できればパリ観光の時に本書を読めば旅が盛り上がること確実です。人でごった返しているルーブル美術館がきっとミステリアスに見えてくることでしょう。キリスト教のタブーにふれることがこれだけ世界的反響を呼ぶとは、日本に生まれた私にはちょっと理解を超えた出来事でした。
文学・評論,2017年10月17日,5,面白い!,相当な資料を調べて、知識を積み上げた者でないと書くことができない作品。蘊蓄とその解説も分かりやすく、また登場人物が少ないため、スラスラ読めるから良いですね。さすがベストセラーで、万人にお勧めしたい本です。難点としては、回想シーンが度々出てくるのですが、いきなり回想世界に突入しているところが多々あること。それから逃亡劇が少し残念。逃亡劇に関しては突っ込みたくなるところが幾つもありますが、特に（中）のP87のヴェルネのラングドンらに対する対応は無理がありますね。そのまま警察に引き渡しするだろ、と。突っ込みはそのくらいとして、全体としては非常に素晴らしい本だと思います。宗教、芸術に興味がある方や、ヨーロッパ旅行を予定されている方などは、これを読んでから行くと楽しみが一段と増すように思います。
文学・評論,2004年12月22日,3,これからなんですが,学校の先生のおすすめ図書です。今から読むのですが、期待満々です。
文学・評論,2017年9月13日,2,危ういときに必ず助け舟が出る,原書で読んだので、翻訳の技量がどのくらいなのかが判りませんが、レビューによると原作通りなのかなと思います。これは、インディージョーンズですか？　ドタバタしてて、主人公たちが危なくなったら、必ず助け船が出ます。しかも、こいつ怪しいな～と思っていたのが黒幕だし。ただし、最後の２０Ｐが感動を呼んだので（ネタバレではありましたが）良しとしました。映画も2時間では納まりきれず、説明不足でなにがなんだか全くわからない内容でした。
文学・評論,2006年4月21日,4,ダビンチというより聖書の秘密がベース。真実だというのが興味をかきたてる,「真実に基づく」聖書の驚くべき秘密をベースにしたミステリーでありスリラー。ただの聖書の謎本を読んでいても眠くなるだけだけれど、この本は最初の数ページで一気にハマるだけの強烈な吸引力を持っている。ダビンチの絵に隠された謎というから、かなり無理な理屈だろうと思っていたら、特に、最後の晩餐のある人物など、本当になんでいままで気が付かなかったのだろうと思うようなわかりやすさ。読んだ直後は、この本のキリスト教に対する衝撃は計り知れないと思って、知り合いのナポリに住むイタリア人に聞いてみたら、彼らイタリア人にも、この話に驚いて大騒ぎをしたらしいけど、しばらくするとみんな忘れてしまったって。考えてみれば聖書の２千年の歴史は、こういう新説、珍説、暴露、中傷の連続だったんだろう。で、ちょっと、思ったのは、この本はアクションが少なく、説明が多いので、今度の映画はどんな風になるのだろう、ということ。歴史の場面とかを映像にしたりするのだろうか？ちなみに小説にもでてたけど、キューブリックの「アイズ・ワイド・シャット」に儀式の場面がでてます。すごいエッチで不気味。興味のある人はどうぞ
文学・評論,2006年3月22日,5,全世界のクリスチャンたちへ,文庫本の発売、そして5月には映画が公開と、昨年に引き続き大注目のダヴィンチコード！全世界のクリスチャンたちの常識を覆す真実。ページをめくる度に次々と解き明かされる数々の謎。実話に基づいたストーリー。２０００年の間に闇の中へと葬り去られたキリストにまつわる真実が、長い時を経て今解き明かされます。クリスチャンもそうでない人も、宗教に無関係な人も、とにかく全ての人類が感じてください！宗教の時代の終わりと、新しい世界の到来を！「早くページ進めたい！続きが気になる！！」活字だけでこんな気持ちになったのは初めてです。ミステリーとしても素晴らしい作品です。最初から最後まで興奮が止まりません！きっと世界観が変わるはずです。
