ジャンル,投稿日時,星の数,見出し,レビュー全文,ネタバレに該当する部分
,,4,バランス良いです。,"静岡大学理学部卒業の著者が、静岡を舞台に書いたもの。
1980年代後半、合コンあり、遠距離恋愛あり、の青春はいろいろあるよ系恋愛小説…。
文章は読みやすく、トリック（？）も打てそうで打てないフォークボール。
""最後まで読んでも、直球だろ？、という方にはブログで丁寧に解説してくれている方あります。ミステリー中級者向きの面白本です。",
,,4,女の子こわい,"ネタばらしを最後に見て納得？しました
""違和感を覚えた所で気づけなかったのが悔しい",
,,4,ゾクゾク感半端ないです,"""最後の2行を読むためだけに数時間を費やす価値はあります。あのゾクゾク感は中々味わえるものじゃありません。それだけにネタバレには注意！2度読むほどではありませんが、軽く流し読みはしたくなると思います。",
,,5,あなたのその傷は、必要な儀式だった。,"正直なところ、「好きな本」ではないです。
けれど、これほどの衝撃を受けた本はないかもしれません。
よくある「衝撃のラスト!!」ではなく、
この小説で描かれた「人間」という生き物について、
あらためて考えさせられる衝撃を受けました。
恋愛で傷を負った人であればあるほど、
読後に自身の人生との繋がりが見えてくるはずです。
終盤までは非常に退屈な小説です。
どうか諦めず、最後まで読んでほしいと思います。
僕は敢えて、再読はしません。
""というより、できそうにない。",
,,3,若い人むけかな？,"テレビで　「必ず　もう一度よんでしまう」　的な　賞賛があり　購入しました。　かなり期待したのですが・・・・　なぜ　もう一度読みたくなるのかわからなくて、　理由を探すために　もう一度　さらっと　真ん中あたりを　読みました。
（うたい文句に　はまったということですが、　結局　もう一度読みたくなる　理解は出来ませんでした。）
""ストーリー自体は　普通に面白いのですが、　2度読むほどではないかな～・・・・・。　私が中年以上の　年齢だから　かな　とも思いますが。",
,,3,何も見ずに聞かずに読みたかった,"""ラスト3行で、、と知っていたので警戒しながら予想しながら読みました。結局結末は驚きでお見事！という感じでしたが、驚きの結末が待っているということも何も知らずに読んでみたかったなと思います。結末以外のストーリーが内容的に浅かったのが残念。",
,,3,確かに最後から2行目は読んじゃダメ,"""友人に勧められて読んでみました。ベッドインのシーンは、あまりにもリアルで驚きましたが、終わってみれば、リアルに書く必要があったと納得。最後から2行目を読みたくて読みたくて、うずうずしていましたが、確かにお見事な結末です。ネットでもいろいろな関連サイトを検索してしまいました。でも、2度読みたくはならないかな？",
,,4,たしかに2度目は拾い読み返し。,"最後の2行でうん？
この人誰？
すすめられて読みましたがこれがミステリーでしょうか。
とにかく多数の登場人物の名前がややこしい。
前半でこの主人公は2重人格者なの？
違和感の連続。トリックはこれかな、すぐ分かりましたが。
ネタバレになりますからこの辺でやめておきますが、読後感に驚愕はありませんでした。
ネットにネタバレがたくさん出ています。
ただこの作者が男性だったことの方が意外。
名前の先入感からでしょうね。
「リピート」も読者から圧倒的支持のようですからまとめて買いましたので今から読みます。
期待通りかな。
個人的に好き嫌いある小説だと思います。
""残念ですが私は星4でも好意的評価ですが。",
,,3,芸人さんのテレビの紹介で読んだ,"芸人さんの紹介でハードルが上がりすぎたかな。
結末は面白い。
まあ、少し予想はできたけど。
""結末にたどりつくまでの、まったり感を我慢できるかどうかが分かれ目かな。",
,,3,良かったです。,"それぞれですが、
面白かったと思います。
しゃべくりで言っていた様に、
""二度、読みかえしたくはなりませんでしたが…",
,,3,上手く引っかかれなかった,"基本的な読み味は、特にひねりなく作中時代的にもやや古い感じの恋愛小説です。
そこだけ取れば特に見どころのない、正直つまらない内容。
けれど、宣伝でも明記されているので隠す必要はないと思いますが「どんでん返し」が待っています。
その仕掛けこそ当作の見どころと評価の全てと言っても過言では無いかと。
ところで困った事に自分の場合、普段いくらミステリーの類を読んでも毎回のように騙されておおっとなる単純人間なのに、この小説だけはなぜかたまたますぐに仕掛けに気づいてしまいました。騙されないことに誇りを感じる人もいるでしょうが、個人的にはエンタメはとにかく楽しみたいのでコロッと騙されたかった！ 無念です。
""星の数はそんなわけで、個人的にどれだけ楽しめたか（星２）と作品評価（星４）の間で３にしてみました。",
,,3,優れたミステリー、いやホラー？,"ミステリ小説だと思って読んでも、途中で脳みそが勝手に恋愛小説として
認識してしまう。。それこそが作者の狙いかな？
どこに仕掛けあるのかな？と探りつつ読み進めていても、
ぬる～い恋愛小説なのでついさくっと読んでしまう。
まんまと騙されてしまいます。
後半部分に入ると、どうも腑に落ちない主人公のキャラクター
何かおかしいな、、どうしたのかしら？と思うのだが。
結末を読んで、ああやっぱりねえ、しかし、どうゆうこと？
とそこからページを遡る事になります。
そう、やっぱ２回読まされちゃうねえ。
読後の感想は、苦いものを飲み込んだような、
後味の悪いのもでした。全然ぬるくね。むしろ寒い。。
なので、やっぱりミステリーですね。
""巧いと思います。",
,,1,最後,"読み返したくなる、という言葉に惹かれて購入しましたが、後味悪いです。後味が悪い話は好きな方なのですが、これには少し腹が立ちました…w読み返すことはないなぁ。途中がおもしろかったのでスラスラ読んだので…最後だけが残念です。
""本当に途中は好きなんです。",
,,3,安い！,"""実際買うより断然ネットが安い！商品は間違いないから、あとは値段での勝負！",
,,5,思わず読み返しました！！！,"某新聞の書評がきっかけで手にしたのですが、読みかけてたわいのないラブ・ストーリーかと思いきや、実は大きな仕掛けがあったのです。その組み立ての確認に、思わずまた読み返してしまいました。作者の綿密な構想に脱帽！
""次作はどういう仕掛けが・・楽しみです。",
,,2,うーーーん…,"""前評判を聞いて期待していたが、結構わかりやすかった（伏線がバレバレというか）。なるほどねと思うところは多少あったが、総評としては期待しすぎた残念感が残る。sideAの何も波乱の起こらない順調な恋愛を淡々と描く様は、恋愛小説としてもあまり面白いとは思えなかった。",
,,5,最後にあっ！,"何年かぶりにやられたって感じです
周りの皆に勧めています
""期待以上でした",
,,3,必ず読み返すという意味が分かりました。,すごく凝った小説です。８０年代の懐かしい楽曲名や、その年にあった出来事等から、推理するのは楽しいと思う。でも、実際ネットで検索して、そういうことかと納得。分かる人には分かるかんじ。,
,,1,本の帯が悪い,"いわゆる叙述トリックもの、ですが、、、
叙述トリックのために小説全体が構成されていて、本末転倒な作品に感じました。
何気ない描写に読み手の常識を揺り動かすような意味を隠しているといったわけでもなく、文中の違和感を結末でつじつまあわせするといった具合で、肩透かしをくわされました。
""正直、物語としては展開に起伏の少ない部類ですし、初恋などのテーマをつらつらと描写するだけなので、物足りなさを感じました。加えて上記の違和感が相まって読者にギミックの解明を余儀なくさせるという。",
,,4,"ラブストーリー小説
","映画化されるので読んでみたが、普通のラブストーリー小説だと感じつつページ数を重ねていった。
最終ページで何？と感じ、最後の２行で話の辻褄が合わなくなった。
自分では意味が良く理解できなかったので、映画を見た人に聞きやっと納得！
""小説を読んだだけで理解できるか？挑戦してみてください。",
,,5,"とりあえず読んでみて。
","なんか変やな・・と思いつつ、自分の暗記力のせいかと思って読み続けました。
""最後の2行の謎もわからないまま・・何か吹っ切れない想いだけが残りました。12時間ほどたって「なんじゃこりゃー」と謎が解けた時、私の感想も激変！しました。とりあえず読んでみてください。数々の仕掛けを・・後で楽しめます。",
,,4,"確かに再読したくなります。
",ありふれた恋愛小説とおもいきや、確かに最後の二行で「え_」っとなり、わかった上でもう一度読みたくなりました。いろんな評価ありますが、私は面白く読めたので星4つです。,
,,3,"期待しすぎた…
","どんな衝撃があるのかと期待しながら一気に読みました。
途中でまさかと思ったものの…そのまさかでした。
""残念です。",
,,4,"確かにラストは。。
","確かにラストは「あれ？」と。
""もう一度読みたくなる作品。映画になるって本当？",
,,5,"君の知らない物語
","世の中に絶対的なものなんかなく、恋愛を通してそれを学ぶ物語。ネタバレされてから興味がわいて読みましたが、最後まで楽しんで読むことが、私にはできました。
""そこまで長くなく、気軽に読めるので、誰にでもオススメできる本です。",
,,4,"面白かったけど。
","""面白かったけど…。しゃべくり７で言ってたような読み返したいと言う気持ちはイマイチ分かりません。",
,,4,"実はこのミステリーって、あなたのだったかも？
","最後まで読み終えたあと、解説を読んで愕然とするミステリーです。
途中から違和感を覚え始めるのですが、それはあなたが読者だからでしょう。
もしも、現実であなたが主人公だったなら、切なく美しいラブストーリーの思い出となるのでしょうが、
人の心ほどミステリーなことはありませんね。
振り返ると、実はあなたの人生にも「SIDE－B」が存在しているのでは？
""真実を知らないほうが、幸せなのかも知れませんね…",
,,5,"まさに衝撃的ラスト、どんでん返し
","凄いドッキリがある、どんでん返しがあるという情報を予め持っていた。
もともと、そういう最後に騙される小説を読みたくて本書に行き着いた。
だから予め備えをもって読んでいたのに
ラストのラストで思い切り騙された。
読み終わった後に
「えっ？」
ってなって暫く意味が分からずに読み返してみる。
すると事実が浮かび上がってくる
「なるほど…」
「そういう事だったのか…」
笑いが出てくるほどに繋がる全ての伏線
""最後のどんでん返しが好きな人は必読でしょう。",
,,5,"やられた感あり
","初めの方から違和感が感じるけれども何かわからず、物語を進めていくにつれ、もやもやがまし、最後にえっ！となる。
""人の想像力を上手く生かした小説です。",
,,1,"オチまで読むのが苦痛すぎる。その対価も小さい。
","オチなんかどうでもよくなるくらい、とにかくストーリーがつまらなかった。3割読むのもツラかったです。肝心のオチを理解しても「ああ、そうだったのね‥」といった程度で感動はありませんでした。そのため知り合いに自信をもって勧めることはない作品です。
""既に買った方は半分読むのも苦痛だったなら、読むのをやめてもいいかとおもいます。",
,,3,"騙されます
","最後の最後まで作者の意図に騙されていた気がします。
しかし、きちんと各話のタイトルや2パートにわかれていることに最初から気付いているとわかってしまうので・・・
""私のように何も見ずにいきなり読み始めると騙されて楽しいと思います。",
,,5,"とても面白いので、お勧めします。
","""巧妙なトリックが仕込まれています。それに気がついた時には、腰を抜かすほど驚きました。こころからお勧めします",
,,5,"読み返しました
","原作を読んでから、映画も見に行きました
""帰ってから、再度、原作の最後を読み返してしまいました",
,,5,"2度読み必須です。
","1度読んだ後、謎解きをしつつもう一度読むべきです。
とても面白く、最後の最後でどんでん返しが来て『え？！』となり、思わずもう一度読み返してしまいました。
""作者の他の作品もぜひ読んでみたいです。",
,,5,"純愛？ミステリー？
","噂以上の出来です。
""「最後の2行 貴方はもう一度読み返したくなる」",
,,4,"ネタバレではありません
","軽く読めますが、結構、深かかったんだ～。と言うのが単刀直入の感想です。恥ずかしながら、最後まで読み終わって、何んだベタな恋愛小説じゃん。どこがミステリー的なのと最初、思ってしまいました。ところが、最後を読み返すと‥え～～～騙されたと気づきました（遅っ（笑））それから読み返し‥‥。
""結果的に面白かったです。ちなみに、その後、職場の友人達4人に紹介しました（笑）そのうち今のところ2人が読んでからの感想をもらっていますが、2人とも最初、最後まで読んでもすぐに意味わからなかったそうです。何んだ一緒じゃん（笑）でも面白かったそうです。基本、恋愛小説が嫌いな方にはあまりおすすめしません。",
,,2,"物足りない
","確かに「通過儀礼」について書かれた内容だが、あまりにあっけない終わり方で驚いた。
""これが連続ドラマだったら・・・あと３話は残っていそうな気がする。",
,,4,"面白いけどオチは分かった
","話が作りこまれててよかった。
途中でオチがわかった分、恋愛要素は楽しめなかったな。
あと時代背景わかる人の方がいいのかも。
""三十年くらい前が舞台だから、いろんな単語にぐっとくる人はくるかも。",
,,1,表紙は可愛い,微妙やった！頑張って二回読んでおお！とかってなりたかったけど、そんなに面白いと思える内容では無かったのでネットでネタバレを読んで落ち着いた。鈴木の思考回路が腹立たしい。,"鈴木君
"
,,5,"気持ちよく完全に騙されました
","ミステリーをそれほど読まない自分は最期まで読んでも最初は「ん？なにこれ？どういうこと？」とすぐに謎が解けませんでした。
あとがきを読んで、さらに解説のサイトを見て「あー、そういうことだったのかー！」とようやく理解。
""よく出来てるなーと関心。気持よく騙されました。そして、謎が解けた後も考えてみると現実にも十分有りそうな話だという所も好きです。",
,,3,"女はしたたかよ
","女は怖い_
最後のページまで騙され続けました
""女ってしたたかなんだよね～と読後の感想。",
,,5,"娯楽に万人受けなど…
","""評価の良い・悪いよりその「総数」に興味が沸き、読みました。。",
,,4,もやもやしますが面白かったです,普通のラブストーリーだと思って読んでいましたが途中から違和感を覚え、最後にはえ！！ってなるような本でした。,
,,5,"一つの仕掛けだけでここまで読ませることができるとは。
","正直な話、ストーリー自体はつまらない。
仕掛けも今では使い古されたものである。
しかしそれを組み合わせるとこうも面白くなるのかと
感動を覚えるほどだ。
""シンプルなのがむしろ良い方向に作用している。",
,,5,"読む前と後では物語の顔が変わります。
","読んでいて違和感を感じながら、
最後に落とし前をつけてくれました。
小説だから成立する仕掛けは読んでいて楽しい。
驚きは恋愛小説だっていうところで、
""読んだ後、本当に全く違う小説に生まれ変わります。",
,,5,"確かに
","""ラスト2行を読んでも、その意味がすぐ理解できずに何度も読み返し、ようやく気が付いた。確かに傑作ですね。",
,,4,"違和感を感じたあとの種明かしに納得
","""たしかに読み返して、そうだったのか、やはりそうだんたんだよな、と納得する小説。恋愛小説として読めば、80年代を舞台にしていることもあって、気恥ずかしさを感じてしまうが、ミステリーの軸が通っているので、違った読後感になるのは間違いない。読み進めていく中で、いくつか違和感を覚えるところがあって、それを感じながら読む進めて行く人が大半だろうが、中には気づくカンのよいひともいることだろう。でも、気づかないほうが読者としては幸せなんだろうと思う。最後の驚きと、再読の検証が待っているのだから。",
,,5,満足です。,迅速で商品がとてもキレイでした。商品が説明通りで満足しています。,
,,2,"結局
","文章自体は描写が細かいので情景が浮かびやすいが、ミステリー？ではないし、恋愛小説としても内容がなさすぎ。
""なんか「女性は軽い」と思ってる人が書いてるなぁって思った。残念。",
,,5,"うっかり
","""さくっと読んで失敗しました。(*_*;二度読みする羽目になりました。",
,,3,"なかなか面白かった
","もうちょっと頑張って。
""面白かったけど、まだ工夫できたと思うよ",
,,1,"うーん
","2度読みたくなるの意味が理解できませんでした。
""1度読めば十分でした。",
,,5,"読み終えてドキドキ
","しゃべくり００７で有田さんが最後の2行に衝撃が！と紹介した時点から興味を持ちこちらで購入。
丁寧に読み進め、夜中になって読み終える直前、最後の2行でまさに衝撃が走りました。
""その後頭の中がぐるぐる、心臓ドキドキで眠れなくなるほど楽しませてもらった本です。",
,,3,"なぎ！
","映画の予告通りに、最後の２行で、えぇ～～～そこでそぅ落とすかいって思った。
""結構面白かったと思います。",
,,5,"びっくりしたー
","最後の2行、どきっとしましたねーーーー、、、、
""ついつい読み返しました",
,,5,"うまくできてる
","ラブストーリーなんだけど、ミステリー。
一つ目のトリックは、読みながらわかったのだけど、
二つ目は、検証サイトでようやく把握。
そして、読み返す。
うーん、なにか書こうとすると、ネタバレになってしまう気がしてしまう（笑）うまくできてる。
ただ、若い子には「男女7人」と聞いても、全然ピンとこないだろうなあ。
""そういう意味では、アラフォー以上の年齢のほうが、より楽しめると思います。",
,,3,"だらだら
","だらだら～オチでドン！おわり
こんな感じの小説でしたが、細かな所は良かったです。
""途中が普通なので残念ながらどんでん返し感は「殺戮に至る病」に到底及ばない。",
,,4,"不思議な感覚
","懐かしいバブル時代の雰囲気の中で進んでいく恋愛模様。
""最後まで読むと、もう一度読み返してしまいます。",
,,5,"最後のどんでん返し
","この作品、３回ほど読みました。
全部読んでも内容がいまいち理解できず、３回も読む羽目に。。。
でもいい作品だと思ってます。
こういう恋愛ミステリーは好きなので、セカンドラブも購入しちゃいました。
騙された感じは半端ではないので、読んでない方は是非読んで見ましょう。
""全部読んで、女性不振にならないように気をつけてください。",
,,3,"カセットテープ
","宣伝通りラスト2行で物語は一転し、「え？これで終わり？」と思うくらいブツ切りで幕を下ろします(カセットテープが巻き切ってガシャンと再生が終わる雰囲気を彷彿させるので良いのですが)
他の方のレビューにあるように最後2行を読む為になんとか読みきりました。
と言うのも登場人物にどうも共感出来なかったからです。
また、勘の良い読者はsideAの早目の段階で何が起きている(起きようとしている)かは察しがつくのでsideBは疑惑の答え合わせになります。
自分の中で見つけた辻褄が何処まで合っているのかを確かめる意味では楽しめるかと思います。
""ところで、これを実写化はどうやったのだろう？と凄く気になってしまいました。",
,,4,"いい意味で、期待しないほうがいいです
","知り合いから「面白い恋愛小説」という薦められかたをしたので、その通りに受け取り恋愛小説として読んでいました。
読み終わったあとは、結果的に本当にそれでよかったと思い、知り合いに感謝しています。
普段は恋愛小説は読まないので、けっこう物語にのめり込み、文体も読みやすいことから、スッと最後まで読み切ることができました。
あまり書くとネタバレになるので書けませんが、何も構えずに読んでほしい一冊です。
細かな描写に関しては、その世代のまっただ中を生きてきた訳ではないのでピンと来ないことが多かったですが、それでも十分に楽しめます。
""舞台となる地域のこともよく分かりませんが、やはりそれでもストーリーに入り込むことはちゃんとできます。",
,,4,"中身が深かった
","""2回読まないと深く理解ができませんでした。映画化されるみたいなので楽しみです",
,,1,"魅力的な登場人物がゼロ
","読んで損した本。
再読したくなる本とか、どんでん返しがあるとか前評判が良かったので読んでみたのですが、つまらない日常がダラダラ続くだけ。
魅力的な登場人物がほとんど出てこない。
かわいいだけで軽薄なマユ。それは、最後の展開のための伏線だったのか…。
""最後まで「いつ意外な展開があるんだろう？」と期待していたぶん、がっかり感が大きかった。",マユ
,,4,"噂の小説
","""テレビとかで紹介されてたこの小説。最後の一行で意味が変わってくる。鈍感なので、読み終わっても暫く気づきませんでした。僕の場合、この時代に静岡に住んでいたいので、静岡ローカル小説として懐かしんで楽しみました。",僕
,,5,"仰天内容はホンモノ
","""いったいどこに仕掛けがあるんだろうと虎視眈々とした気持で読み進んだが、最後になってやられました。",
,,4,"これは。
","どんなに気になっても最後のページを途中で開かないでください。
""映像では表現できない、書物の良さを改めて感じることができる素晴らしい作品だと思います。",
,,3,"期待しすぎちゃダメ！
","""レビューを読まずに本を読んだほうが絶対いいです！なんの知識もないまま読んだ方が評判通りどんでん返しでビックリできると思います。私も最後から2行目で本書は豹変するとの言葉に惹かれて夢中で読みましたが理解力がないせいか、時々おかしいなと思うところはあったものの、え？どうゆうこと？結局なんなの？といった感じで終わり、解説を読んでもわからず、ネットでネタバレを見てやっと理解できました！確かに少し読み返してみたくもなりますが、期待しすぎるとダメかもです。",
,,4,"どんでん返しが好きな人には良し
","どんでん返しや、ミスリードなどのトリックで
読者を驚かせるような”仕掛け”が好きな人は
読んで損はないでしょう。これだけ売れてるし。
話自体は普通です。
このトリックは人に話したくはなりますね。
""それが、売れている一番の理由ででしょう。",
,,1,めったにレビューは描きませんが、あまりにもつまらないので…,"ミステリーとして読むと、これ以上の衝撃のラストはいくらでもあります。
こういうタイプの、携帯小説みたいな内容にミステリー要素を組み合わせたのがウケたんですかね。
それにしても、本体のストーリーがつまらないので、そこが欠点です。
""難解では無い、という点では読みやすいです。",
,,1,"おいおい、嘘だろそのまんまじゃん…
","読後の感想は「え？ほんとにそれだけなの？」でした。
あまりの単純さに信じられず、解説サイトを巡って本当にたったそれだけだと悟りました。
サイドa.bという構成、明らかに違う人物像、富士通とギフト…………
もう読んだまんまなのに、なんでこれが名作ミステリー扱いなのか。それがミステリーでしょう。
最期の二行でひっくりかえるみたいな事が煽り文句に書いてあったが、サイドaのあだ名を付ける下りでチラッと考えてサイドbの3ページ目くらいでオチが丸見え……
主人公が女に十角館の殺人を渡す場面があるが、同じ叙述トリックでもこうもつまらないものなのかと思いました。
誰がこれに騙されるの？
パラノーマルアクティビティ5よりつまらん。
""セックスシーンの多さとエロさに星一つ。",
,,1,"好みではなかった
","他の方のレビューにあったように、やはり読み返しました。
""読み終えて、イマイチスッキリしない作品でした。",
,,5,"ラストで全てひっくり返る
","""個人的には最高だった。この作品は一発系の内容なので賛否両論あるのも理解できる",
,,2,"うーん…
","最後の終わり方は確かに「そういうことか！」と思いました。
が、正直それだけ。読了感もあんま良くないし・・・。
""『2度読みたくなる』とありますが、２度読まずとも仕掛けはすぐ理解できたし、個人的にはちょっと期待はずれ感が強かった作品です。",
,,3,"普通の恋愛小説
","初めは普通の恋愛小説と思ってました。読み終わった後も・・・。
でも謎解きを読んでやっとわかりました。
読む前にレビューを読まないほうがいいと思います。
""そのほうが楽しめるし二度読みする時にも楽しいから・・・。",
,,2,"話題作だけど…
","評価がわかれそうな小説だと思います。
最後の2行、最後の1ページのために、それまでの小説があるというかんじです。
在り来たりな大学生～社会人の恋愛小説で、前振りが長く感じました。
また読み直したいと思うほど、私は面白く感じませんでした。。
小説の大半は友達の恋愛話でも聞いてるような、どこかにありそうな恋愛話です。
""主人公たちと同じバブルの頃に青春時代を過ごしたのであれば、懐かしくてもっと楽しめたのかなとも思います。",
,,3,"映画を観てから原作を読みました。
","""映画を観る前に読んでおきたかった様な気がします。映画のどんでん返しがないんだもん～",
,,1,"うーん…
","仕掛けは確かに面白いです。
ただ、そこ以外が面白いかと言われるとちょっと……
最後の最後までは、ただひたすら面白みのないダラダラした恋愛小説が続くだけです。
""「全体的に面白くて最後はビックリ」という小説を期待していたので、これはハズレでした。",
,,2,"うーん
","""トリックのために話を延々と続けてるって気がします。まずトリックありき、話は後付け。１０ページ程度にまとめても同じ事になると思います。その方が手っ取り早いし時間も節約できる。かなり早く流し読みしました。２度は読まないなあ。",
,,4,"主要登場人物の変化が秀逸
","さまざまな仕掛けが施されており、興味深かった。
レビューでは書けないことばかり。
主な登場人物が４、５人出てくる。
読み進めるうちに彼らの性格が、最初に抱いた印象と
異なっていくのが興味深い。
繊細な人、大人の雰囲気を醸し出す人、
非リア充で残念な人、器用でモテる人。
""彼らの変化が面白かった。",
,,5,"一気読み＆二度読み
","""ラストまで一気に読み終わって？？？直後に２度読み突入！非常によく出来ています。",
,,1,"あんまり、、、。
","最後にどんでん返しがあるようなレビューを見て期待して読んでいたのですが
大したどんでん返しがある訳でもなく「え？これで終わり？」というような感じで終わってしまいました。
期待が大きすぎたのかもしれませんが、ちょっとガッカリでした。
何の期待もなく読めば楽しかったのかもしれませんが、映画になるくらい面白いのかと思ってつい大きな期待をしてしまいました。
""それとも私が意外な結末に気がつかなかったのかも？？？",
,,5,"どんでんがえし！
","最後の2行でどんでんがえし…のフレーズで一読しました。
トリックや密室などでてきませんが、これはこれで面白いです。
途中で、んっという個所がいくつもあります。
""別の解説本（ネットの解説）を読むと、納得します。",
